model,dataset_count,image_count,equal_dataset_mean_f1,cross_dataset_sd_f1,worst_f1,worst_f1_dataset,equal_dataset_mean_sensitivity,cross_dataset_sd_sensitivity,worst_sensitivity,worst_sensitivity_dataset,equal_dataset_mean_precision,cross_dataset_sd_precision,worst_precision,worst_precision_dataset,equal_dataset_mean_iou,cross_dataset_sd_iou,worst_iou,worst_iou_dataset,equal_dataset_mean_tvs,cross_dataset_sd_tvs,worst_tvs,worst_tvs_dataset,equal_dataset_mean_cldice,cross_dataset_sd_cldice,worst_cldice,worst_cldice_dataset,equal_dataset_mean_sf1,cross_dataset_sd_sf1,worst_sf1,worst_sf1_dataset
DCP_1024,6,244,0.7639830997059106,0.06970893876164505,0.6358014183376061,AFIO,0.7863221123994256,0.14981600601856412,0.505458594182645,AFIO,0.7732151167837894,0.08346130074650032,0.6349244258905666,DualModal2019,0.6233860952322532,0.08669557949474267,0.46716236148920925,AFIO,0.5147233100320683,0.125034933613225,0.39563632683324446,HRF,0.8048758143115,0.061784816150504386,0.704284943234,AFIO,0.7528664215783334,0.14499859556734596,0.535952697705,HRF
FR-UNet,6,244,0.7286650814952568,0.048364210424970286,0.6592671446773737,AFIO,0.7685479108703397,0.12336554422844806,0.5637168272432297,AFIO,0.7183259397186901,0.09308531233350822,0.5930518994390339,DualModal2019,0.5763474339149272,0.05910844464858199,0.4925907120687199,AFIO,0.4706059629902451,0.18362370750836954,0.29284439574065907,LES,0.7667005078178333,0.0557054287681833,0.685255386999,HRF,0.6876482211776667,0.2067905615508161,0.344911209197,HRF
FSG-Net,6,244,0.770925836511204,0.0520833626175669,0.6954058190782323,AFIO,0.8400991677943908,0.12227454916232766,0.604613615756127,AFIO,0.7340905662335955,0.08513192669206483,0.5883689388629487,DualModal2019,0.631173031875051,0.06841076127131472,0.5339192883142455,AFIO,0.6151052419508779,0.12019502480067559,0.5090095922496182,AFIO,0.825293942004,0.039781702550691654,0.76668030923,AFIO,0.776070184793,0.11083614637387897,0.632820444167,HRF
GAVE,6,244,0.7299045567802204,0.057284971554229354,0.6460747829174748,AFIO,0.7993626611877876,0.13178509202857538,0.5511784400560301,AFIO,0.6982802916552145,0.09563990887552823,0.5367262469078129,DualModal2019,0.578626787820824,0.06997580850445193,0.4789196155690593,AFIO,0.5068039426674367,0.1306262992757273,0.34887186825242855,CHASEDB1,0.7617124574766667,0.04476883500478954,0.683671359806,AFIO,0.736339349028,0.07689346808253868,0.605839176621,AFIO
SA-UNetv2,6,244,0.7633148714153913,0.04775623179424721,0.7007606536958182,AFIO,0.8490231498370076,0.11722590651842076,0.6192032854794897,AFIO,0.7110581651654124,0.0782768128829668,0.604513406341283,DualModal2019,0.62077845498582,0.06231442813049717,0.5402536934002589,AFIO,0.6342393415136962,0.12302294167868656,0.5161893334438222,HRF,0.8208618638363333,0.03367689754704847,0.773211805499,AFIO,0.7586483354743333,0.12728400460493947,0.567722218808,HRF
