model,dataset,image_id,precision,sensitivity,f1,iou,mcc,tvs,cldice,sf1
DCP_1024,AFIO,IM000001,0.9344406435051242,0.4698344938110219,0.625279811728,0.45484151397672135,,0.448979591837,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000004,0.809243709625542,0.6400045719506864,0.714742505569,0.5561084130347169,,0.261802575107,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000023,0.6960867551694007,0.5677189890159134,0.625383561881,0.45495131917436066,,0.243386243386,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000024,0.7611633372486322,0.5480335778975127,0.637250305513,0.46762094909358215,,0.195555555556,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000135,0.9093250838125903,0.48780471678724585,0.634977601632,0.46517742301603954,,0.132107023411,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000136,0.9431670227188524,0.46569383156774685,0.623520858404,0.4529824241877287,,0.230769230769,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000167,0.8649863373680464,0.558158133082199,0.678496342756,0.5134275179918959,,0.548387096774,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000168,0.8529337347870692,0.5745389780821964,0.686589203336,0.522752824234355,,0.146739130435,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000189,0.8469804712342149,0.5328336783074554,0.654145661707,0.4860449181571006,,0.297297297297,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000209,0.8663484075528183,0.5860292146102676,0.699137013831,0.5374409305702027,,0.121621621622,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000210,0.8818647935743029,0.5261296625380605,0.659058314091,0.49148916840797324,,0.180043383948,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000333,0.8973497091191889,0.4653314338381163,0.612858010044,0.4418134657313919,,0.268292682927,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000389,0.8608627278855504,0.4755017322009927,0.612619881062,0.44156599384669226,,0.0232558139535,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000390,0.8529291216176206,0.5001823395827121,0.630576409678,0.46046848771586385,,0.470588235294,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000678,0.8326213352641558,0.573864240311906,0.679440469673,0.5145095348369152,,0.54347826087,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000679,0.7790321853268815,0.5238090424827763,0.626421845347,0.45605111236298723,,0.4,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000715,0.7129621744961533,0.6141421550657657,0.659872952822,0.49239581740517885,,0.579136690647,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000716,0.6474894178843681,0.5352476646023191,0.586042669853,0.4144698410326661,,0.362134688691,0.704284943234,0.63066589951
DCP_1024,AFIO,IM000938,0.7588894214570375,0.5603339799710838,0.644669476637,0.47565480561698925,,0.347826086957,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001031,0.7891596814134036,0.5743283582092947,0.664819596535,0.4979249207146017,,0.218181818182,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001032,0.7891596814134036,0.5743283582092947,0.664819596535,0.4979249207146017,,0.218181818182,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001034,0.684411285308054,0.5362456223507746,0.601336138486,0.4299361376471661,,0.625,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001069,0.8843892325515322,0.5104060415840691,0.647260018408,0.47848073333816793,,0.184210526316,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001070,0.8526858473302635,0.4692316140130855,0.605343628614,0.4340450027933502,,0.102173913043,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001096,0.8745016069395868,0.5476122022816428,0.67348723818,0.5077125961878897,,0.0394736842105,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001097,0.8786991631887133,0.6039320897087721,0.715855167376,0.5574567207604095,,0.615384615385,0.704284943234,0.63066589951
DCP_1024,AFIO,IM001126,0.816056646768715,0.5326687564119335,0.644590630785,0.47556896493811435,,0.470588235294,0.704284943234,0.63066589951
