model,total_error_pixels,boundary_shift_pixels,boundary_shift_percent,too_thin_pixels,too_thin_percent,missed_vessel_pixels,missed_vessel_percent,too_thick_pixels,too_thick_percent,extra_vessel_pixels,extra_vessel_percent
DCP_1024,21848389,2598606,11.893810568825005,1454148,6.655630307570961,9174814,41.9930915730217,2581362,11.814884841166092,6039459,27.642582709416242
FR-UNet,27786756,2906322,10.459378561498866,817099,2.940605949107553,9778227,35.19024315036991,3107542,11.183536502065948,11177566,40.22623583695772
FSG-Net,21970067,2360855,10.745779701081476,988667,4.500063654789947,6645212,30.246662424834664,4199436,19.114352268475102,7775897,35.39314195081881
GAVE,21298396,3023357,14.195233293624552,1021280,4.795102880047868,8337581,39.14652070512728,2486393,11.674085691711245,6429785,30.189057429489058
SA-UNetv2,25989336,1961956,7.549080899950657,734426,2.8258744278807275,6612229,25.442085169086276,5397493,20.768106580329718,11283232,43.41485292275262
