dataset,images,best_F1,vote_F1,delta_F1,best_IoU,vote_IoU,delta_IoU,total_error_change
AFIO,99,0.703911248329,0.702614964922,-0.00129628340758,0.543848026297,0.542974969486,-0.000873056810664,-658493
CHASEDB1,28,0.810064637989,0.922967210948,0.112902572958,0.681526458549,0.857417561547,0.175891102998,-476934
DualModal2019,30,0.759170552423,0.973395365355,0.214224812932,0.613244988148,0.948307269374,0.335062281226,-1006372
HRF,45,0.770593879227,0.892528853148,0.121934973921,0.628825404377,0.806863797615,0.178038393237,-7697889
LES,22,0.831323873711,0.933671955356,0.102348081646,0.711997508891,0.876008423268,0.164010914376,-795685
STARE,20,0.830129170703,0.894028991603,0.0638998208993,0.710573866085,0.810130699056,0.0995568329709,-103691
