Model,error_component,share_percent
DCP_1024,Boundary shift,11.180084811936783
DCP_1024,Too thin,5.94263940124201
DCP_1024,Missed vessel,38.23293668334189
FRUnet,Boundary shift,10.102234250257736
FRUnet,Too thin,2.8429246716033854
FRUnet,Missed vessel,34.35358091572036
FSG-Net-HRF,Boundary shift,13.70349993382585
FSG-Net-HRF,Too thin,6.917918814498586
FSG-Net-HRF,Missed vessel,42.01384057798878
GAVE,Boundary shift,12.755653458746377
GAVE,Too thin,3.0577596456075997
GAVE,Missed vessel,45.01535394108049
SA-UNnetv2,Boundary shift,10.393211439839847
SA-UNnetv2,Too thin,5.040398657138522
SA-UNnetv2,Missed vessel,34.2106580177718
