Model,N,Mean_clDice,SD_clDice,Worst_clDice_dataset,Worst_clDice,Mean_SkeletonF1_r2,SD_SkeletonF1_r2,Worst_SkeletonF1_r2_dataset,Worst_SkeletonF1_r2
FSG-Net,244,0.7927781320062591,0.06646664108872256,AFIO,0.7434831929181117,0.7369531168768949,0.11452454499236497,AFIO,0.6536919836766408
DCP_1024,244,0.775969796946869,0.07352959451084023,AFIO,0.716012302130597,0.6992985964453693,0.13830899978436173,HRF,0.5404216397127614
SA-UNetv2,244,0.788406927023689,0.06264169070009898,AFIO,0.7437018962449672,0.7105135911346625,0.13050001401782044,HRF,0.5689611613100647
GAVE,244,0.7551377052983789,0.07934239457725595,AFIO,0.688152434561527,0.698786635781457,0.11960720147584511,AFIO,0.5943313494240334
FRUnet,244,0.7467313091323065,0.07179054952029067,HRF,0.6849216062194323,0.6293566040746309,0.1835642946390431,HRF,0.3447527555563544
