error_type,pixels,share_percent
Boundary shift,12957355,11.467062833083407
Too thin,5221354,4.620819171178947
Missed vessel,43329603,38.34604208448092
Too thick,15587322,13.794543776372825
Extra vessel,35900651,31.771532134883902
