Model,mean_macro_f1,sd_macro_f1,worst_dataset,worst_macro_f1
DCP_1024,0.7641625587758548,0.05935187431319981,AFIO,0.6481845119508769
FRUnet,0.7292828693208612,0.04498851818176729,AFIO,0.658894271048991
FSG-Net-HRF,0.7737573975362438,0.05509742369576924,AFIO,0.6752537167766366
GAVE,0.7438644384150721,0.055329440934136914,AFIO,0.6448186162749113
SA-UNnetv2,0.7676167259405303,0.05383203426280276,AFIO,0.6689432385303321
