model,parameters_m,gflops,checkpoint_mb,peak_allocated_vram_gb,total_training_time_s,median_epoch_time_s,profile_status,notes
FSG-Net,16.851587,199.610380608,64.45068740844727,7.9353,6985.305040117819,34.9112,measured,"training_monitor/outputs/FSGNet_FIVES_paper_full_200; local FIVES; FP32; input 288; batch 4"
FR-UNet,7.375568,430.767603712,28.322763442993164,7.075,3129.648049895186,44.5694,measured,"training_monitor/outputs/FR_UNet_FIVES_20260717-010429-515513; local FIVES; AMP; input 512; batch 4"
SA-UNetv2,0.260521,78.178542612,3.23553466796875,13.182054996490479,1010.707839963994,13.450225333333332,measured,"training_monitor/outputs/SA_UNetv2_FIVES_1028_20260730-120056; local FIVES; TensorFlow; input 1028; batch 2; 75 completed epochs; epoch time is the logged mean; checkpoint size measured from best_model.weights.h5"
DCP_1024,12.5,,,,,,partial,"Published parameter count only; identical local training profile unavailable"
GAVE,,,,,,,unprofiled,"Patch-based pipeline; no comparable local training profile"
