"model","dataset","image_id","f1","f2","tvs","structural_utility"
"SA-UNetv2","AFIO","IM000333","0.699353894447","0.641952568164","0.536585365854","0.720285491058"
"DCP-1024","AFIO","IM000389","0.612619881062","0.522259077244","0.0232558139535","0.648177046297"
"FR-UNet","AFIO","IM000389","0.62597191598","0.556089715764","0.046511627907","0.635513032358"
"FSG-Net","AFIO","IM000389","0.663134646881","0.583200389339","0.0697674418605","0.702265073818"
"GAVE","AFIO","IM000389","0.613586673296","0.551950151305","0.046511627907","0.602452863395"
"SA-UNetv2","AFIO","IM000389","0.689662208116","0.642523882643","0.0697674418605","0.718667329771"
"DCP-1024","AFIO","IM000390","0.630576409678","0.545285170347","0.470588235294","0.667303251744"
"FR-UNet","AFIO","IM000390","0.628634588461","0.565702433306","0.411764705882","0.635394979691"
"FSG-Net","AFIO","IM000390","0.689313551946","0.622131326969","0.588235294118","0.72848025348"
"GAVE","AFIO","IM000390","0.652556328341","0.592561968932","0.5","0.680309393436"
"SA-UNetv2","AFIO","IM000390","0.691087178535","0.644607902567","0.558823529412","0.727268248694"
"DCP-1024","AFIO","IM000678","0.679440469673","0.611896552897","0.54347826087","0.690678609337"
"FR-UNet","AFIO","IM000678","0.664478385678","0.613158200628","0.554347826087","0.656040255172"
"FSG-Net","AFIO","IM000678","0.713250434242","0.679730322298","0.54347826087","0.7264279719"
"GAVE","AFIO","IM000678","0.666440217391","0.614361951966","0.467391304348","0.654171255305"
"SA-UNetv2","AFIO","IM000678","0.712784678205","0.68344593045","0.608695652174","0.733161910703"
"DCP-1024","AFIO","IM000679","0.626421845347","0.560537194999","0.4","0.650833885403"
"FR-UNet","AFIO","IM000679","0.625398041379","0.57976375716","0.4","0.635964432904"
"FSG-Net","AFIO","IM000679","0.670509010606","0.640199586001","0.454545454545","0.685625337624"
"GAVE","AFIO","IM000679","0.563658916299","0.489574836251","0.4","0.557935595083"
"SA-UNetv2","AFIO","IM000679","0.670657839132","0.642879845774","0.454545454545","0.698293101959"
"DCP-1024","AFIO","IM000715","0.659872952822","0.631652166566","0.579136690647","0.672320702542"
"FR-UNet","AFIO","IM000715","0.653605529478","0.673466102474","0.688848920863","0.655432757845"
"FSG-Net","AFIO","IM000715","0.690588618416","0.723164275301","0.697841726619","0.698138524912"
"GAVE","AFIO","IM000715","0.670879548026","0.651587553153","0.631294964029","0.677878957876"
"SA-UNetv2","AFIO","IM000715","0.676831343507","0.707409315072","0.787769784173","0.684562614313"
"DCP-1024","AFIO","IM000716","0.586042669853","0.554471085099","0.362134688691","0.569741970711"
"FR-UNet","AFIO","IM000716","0.596196652623","0.610960443772","0.468869123253","0.587666658386"
"FSG-Net","AFIO","IM000716","0.637218892494","0.668986000205","0.548284625159","0.640705143434"
"GAVE","AFIO","IM000716","0.549140265129","0.51942047881","0.310673443456","0.50547428763"
"SA-UNetv2","AFIO","IM000716","0.626744359779","0.653872293198","0.552731893266","0.637963147694"
"DCP-1024","AFIO","IM000938","0.644669476637","0.591274111408","0.347826086957","0.631600259358"
"FR-UNet","AFIO","IM000938","0.635774131479","0.581395026629","0.326086956522","0.619740813197"
"FSG-Net","AFIO","IM000938","0.671893561416","0.634385884771","0.391304347826","0.662799285379"
"GAVE","AFIO","IM000938","0.591741560442","0.557228956678","0.369565217391","0.542547131446"
"SA-UNetv2","AFIO","IM000938","0.680629623843","0.666010769128","0.413043478261","0.670328630071"
"DCP-1024","AFIO","IM001031","0.664819596535","0.607398529662","0.218181818182","0.691536618236"
"FR-UNet","AFIO","IM001031","0.688947485095","0.659333665332","0.163636363636","0.703788575575"
"FSG-Net","AFIO","IM001031","0.704737040582","0.676739314525","0.254545454545","0.741561484927"
"GAVE","AFIO","IM001031","0.596465796479","0.53779957435","0.218181818182","0.624516500063"
"SA-UNetv2","AFIO","IM001031","0.686351328685","0.646132364253","0.218181818182","0.714604822316"
"DCP-1024","AFIO","IM001032","0.664819596535","0.607398529662","0.218181818182","0.691536618236"
"FR-UNet","AFIO","IM001032","0.688947485095","0.659333665332","0.163636363636","0.703788575575"
"FSG-Net","AFIO","IM001032","0.704737040582","0.676739314525","0.254545454545","0.741561484927"
"GAVE","AFIO","IM001032","0.596465796479","0.53779957435","0.218181818182","0.624516500063"
"SA-UNetv2","AFIO","IM001032","0.686351328685","0.646132364253","0.218181818182","0.714604822316"
"DCP-1024","AFIO","IM001034","0.601336138486","0.56051435759","0.625","0.621160356884"
"FR-UNet","AFIO","IM001034","0.59955703857","0.563472283085","0.5","0.606317991295"
"FSG-Net","AFIO","IM001034","0.625374259716","0.585982193078","0.75","0.653328684982"
"GAVE","AFIO","IM001034","0.548050599452","0.490636039417","0.25","0.56087933694"
"SA-UNetv2","AFIO","IM001034","0.621928526425","0.582473377978","0.5","0.641233428921"
"DCP-1024","AFIO","IM001069","0.647260018408","0.557561433432","0.184210526316","0.677305928823"
"FR-UNet","AFIO","IM001069","0.652486779964","0.582323238693","0.315789473684","0.656983844618"
"FSG-Net","AFIO","IM001069","0.696223093088","0.635875090777","0.289473684211","0.728938817118"
"GAVE","AFIO","IM001069","0.645396766222","0.568281210622","0.210526315789","0.664233872124"
"SA-UNetv2","AFIO","IM001069","0.711314424444","0.654022872095","0.289473684211","0.736530984388"
"DCP-1024","AFIO","IM001070","0.605343628614","0.515605327412","0.102173913043","0.667169316303"
"FR-UNet","AFIO","IM001070","0.607383195539","0.532094293335","0.108695652174","0.655065409377"
"FSG-Net","AFIO","IM001070","0.664965791697","0.596482271501","0.136956521739","0.717088189487"
"GAVE","AFIO","IM001070","0.551108087788","0.466087325138","0.0934782608696","0.5929539322"
"SA-UNetv2","AFIO","IM001070","0.675912725962","0.617331756041","0.169565217391","0.720690922644"
"DCP-1024","AFIO","IM001096","0.67348723818","0.591859731067","0.0394736842105","0.684745154397"
"FR-UNet","AFIO","IM001096","0.678391376895","0.612479014208","0.1","0.666718989725"
"FSG-Net","AFIO","IM001096","0.714191160462","0.654834341053","0.139473684211","0.722627125185"
"GAVE","AFIO","IM001096","0.653351515603","0.596419656824","0.107894736842","0.640312879678"
"SA-UNetv2","AFIO","IM001096","0.712246581289","0.654310490599","0.152631578947","0.72436855286"
"DCP-1024","AFIO","IM001097","0.715855167376","0.64422137877","0.615384615385","0.746782150877"
"FR-UNet","AFIO","IM001097","0.722808166095","0.663738016345","0.615384615385","0.745940473877"
"FSG-Net","AFIO","IM001097","0.736591614616","0.688946181791","0.615384615385","0.763508877754"
"GAVE","AFIO","IM001097","0.672690558856","0.615404652547","0.307692307692","0.676149769934"
"SA-UNetv2","AFIO","IM001097","0.735329193958","0.682525402852","0.615384615385","0.763863200978"
"DCP-1024","AFIO","IM001126","0.644590630785","0.572425415862","0.470588235294","0.634414340511"
"FR-UNet","AFIO","IM001126","0.646963610022","0.600970165441","0.372549019608","0.619581477995"
"FSG-Net","AFIO","IM001126","0.693819130911","0.647937932566","0.421568627451","0.701850836781"
"GAVE","AFIO","IM001126","0.661407159195","0.625034154339","0.460784313725","0.651831993912"
"SA-UNetv2","AFIO","IM001126","0.686275020172","0.645220969706","0.490196078431","0.6953007789"
"DCP-1024","AFIO","IM001127","0.623860386988","0.543672113855","0","0.631555627452"
"FR-UNet","AFIO","IM001127","0.637258880825","0.581524793803","0","0.629645667756"
