Model,Mean F1,Mean Sensitivity,Mean Precision,Mean MCC,Mean IoU
DCP-1024,0.763983099706,0.786322112399,0.773215116784,0.754995106515,0.623386095232
FR-UNet,0.728665081495,0.76854791087,0.718325939719,0.715500445614,0.576347433915
FSG-Net,0.770925836511,0.840099167794,0.734090566234,0.761502166803,0.631173031875
GAVE,0.72990455678,0.799362661188,0.698280291655,0.718615447542,0.578626787821
SA-UNetv2,0.763314871415,0.849023149837,0.711058165165,0.753090696099,0.620778454986
